"id_log","id_user","lng","lat","accuracy","log_time"
"3172892","65","-5.9633902000000001","54.6143882","15","2016-02-25 10:55:04"
"3172893","65","-5.9633900999999998","54.614388099999999","13","2016-02-25 10:55:08"
"3172894","65","-5.9633900999999998","54.614387899999997","12","2016-02-25 10:55:12"
"3172895","65","-5.9633900999999998","54.614387899999997","11","2016-02-25 10:55:16"
"3172896","65","-5.9633900999999998","54.614387800000003","12","2016-02-25 10:55:20"
"3172897","65","-5.9633900000000004","54.614387700000002","15","2016-02-25 10:55:24"
"3172898","65","-5.9633900000000004","54.614387600000001","12","2016-02-25 10:55:29"
"3172899","65","-5.9633900000000004","54.614387600000001","11","2016-02-25 10:55:33"
"3172900","65","-5.9633900000000004","54.614387600000001","12","2016-02-25 10:55:37"
"3172901","65","-5.9633900000000004","54.614387600000001","12","2016-02-25 10:55:42"
"3172902","65","-5.9633900000000004","54.614387399999998","11","2016-02-25 10:55:46"
"3172903","65","-5.9633900000000004","54.614387399999998","11","2016-02-25 10:55:51"
"3172904","65","-5.9633900000000004","54.614387399999998","11","2016-02-25 10:55:55"
"3172905","65","-5.9633900000000004","54.614387299999997","11","2016-02-25 10:56:00"
"3172906","65","-5.9633900000000004","54.614387299999997","11","2016-02-25 10:56:04"
"3172907","65","-5.9633900000000004","54.614387200000003","11","2016-02-25 10:56:09"
"3172908","65","-5.9633900000000004","54.614387100000002","11","2016-02-25 10:56:13"
"3172909","65","-5.9633900000000004","54.614387299999997","12","2016-02-25 10:56:19"
"3172910","65","-5.9633900000000004","54.614387200000003","11","2016-02-25 10:56:23"
"3172911","65","-5.9633900000000004","54.614387100000002","11","2016-02-25 10:56:27"
"3172912","65","-5.9633900000000004","54.614387000000001","10","2016-02-25 10:56:31"
"3172913","65","-5.9633899000000001","54.6143869","10","2016-02-25 10:56:35"
"3172914","65","-5.9633899000000001","54.6143869","11","2016-02-25 10:56:39"
"3172915","65","-5.9634977999999998","54.614392000000002","10","2016-02-25 10:56:43"
"3172916","65","-5.9634977999999998","54.614392000000002","10.482999801636","2016-02-25 10:56:47"
"3172917","65","-5.9634983999999998","54.614392799999997","13.442999839783001","2016-02-25 10:56:51"
"3172918","65","-5.9635007","54.614395199999997","13.001000404358001","2016-02-25 10:56:57"
"3172919","65","-5.9633899000000001","54.6143869","10","2016-02-25 10:57:01"
"3172920","65","-5.9633899000000001","54.6143869","10","2016-02-25 10:57:06"
"3172921","65","-5.9633899000000001","54.6143869","10","2016-02-25 10:57:11"
"3172922","65","-5.9633900000000004","54.6143869","10","2016-02-25 10:57:16"
