"id_log","id_user","lng","lat","accuracy","log_time"
"3993619","65","-5.9655429","54.619897899999998","21","2016-03-08 11:45:02"
"3993620","65","-5.9655015000000002","54.620008800000001","68.313003540039006","2016-03-08 11:45:06"
"3993621","65","-5.9654775000000004","54.620004999999999","48.918998718262003","2016-03-08 11:45:12"
"3993622","65","-5.9654616000000003","54.620007000000001","40.445999145507997","2016-03-08 11:45:16"
"3993623","65","-5.9654569999999998","54.620006699999998","34.84400177002","2016-03-08 11:45:22"
"3993624","65","-5.9655429","54.619897899999998","12","2016-03-08 11:45:26"
"3993625","65","-5.9655427999999997","54.619897899999998","12","2016-03-08 11:45:30"
"3993626","65","-5.9654531000000004","54.619996999999998","25.111999511718999","2016-03-08 11:45:36"
"3993627","65","-5.9654571000000001","54.619990000000001","24.433000564575","2016-03-08 11:45:39"
"3993628","65","-5.9654487999999999","54.619991300000002","22.923000335693001","2016-03-08 11:45:43"
"3993629","65","-5.9654487999999999","54.619991300000002","23.989000320435","2016-03-08 11:45:47"
"3993630","65","-5.9654441","54.619990700000002","23.424999237061002","2016-03-08 11:45:53"
"3993631","65","-5.9654445000000003","54.619988599999999","22.229999542236001","2016-03-08 11:45:57"
"3993632","65","-5.9655427999999997","54.619897999999999","10","2016-03-08 11:46:02"
"3993633","65","-5.9655427999999997","54.619897999999999","10","2016-03-08 11:46:06"
"3993634","65","-5.9654645000000004","54.619986699999998","19.768999099731001","2016-03-08 11:46:10"
"3993635","65","-5.9655427999999997","54.6198981","10","2016-03-08 11:46:14"
"3993636","65","-5.9655427999999997","54.6198981","10","2016-03-08 11:46:20"
"3993637","65","-5.9655427999999997","54.6198981","10","2016-03-08 11:46:25"
"3993638","65","-5.9655427999999997","54.619898200000002","10","2016-03-08 11:46:29"
"3993639","65","-5.9655424999999997","54.6198981","4","2016-03-08 11:46:33"
"3993640","65","-5.9655639999999996","54.6199412","3.9000000953674001","2016-03-08 11:46:37"
"3993641","65","-5.9655686000000001","54.619956799999997","3.9000000953674001","2016-03-08 11:46:42"
"3993642","65","-5.9655699000000002","54.619967899999999","3.9000000953674001","2016-03-08 11:46:46"
"3993643","65","-5.9655643999999999","54.619971700000001","3.9000000953674001","2016-03-08 11:46:50"
"3993644","65","-5.9655597","54.619981299999999","3.9000000953674001","2016-03-08 11:46:54"
"3993645","65","-5.9654974999999997","54.619993800000003","3.9000000953674001","2016-03-08 11:46:58"
"3993646","65","-5.9654616999999996","54.620003500000003","3.9000000953674001","2016-03-08 11:47:03"
"3993647","65","-5.9654081999999997","54.620016800000002","3.9000000953674001","2016-03-08 11:47:07"
"3993648","65","-5.9653090999999998","54.620028699999999","3.9000000953674001","2016-03-08 11:47:12"
"3993649","65","-5.9652535999999996","54.620043799999998","3.9000000953674001","2016-03-08 11:47:16"
"3993650","65","-5.9652456000000003","54.620056400000003","3.9000000953674001","2016-03-08 11:47:20"
"3993651","65","-5.9651885","54.620103499999999","3.9000000953674001","2016-03-08 11:47:24"
"3993652","65","-5.9651664000000002","54.620143499999998","3.9000000953674001","2016-03-08 11:47:28"
"3993653","65","-5.9651186999999997","54.620189099999997","3.9000000953674001","2016-03-08 11:47:33"
"3993654","65","-5.9650898999999997","54.620215899999998","3.9000000953674001","2016-03-08 11:47:38"
